time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220325:1630,447.11,279.43,16.83,46.83,9.04,2.41,0.0
20220325:1730,428.35,260.82,15.99,46.79,10.88,2.55,0.0
20220325:1830,202.06,221.4,10.82,42.86,12.03,2.9,0.0
20220325:1930,173.8,200.96,9.65,35.93,11.46,2.62,0.0
20220325:2030,28.93,87.5,3.47,27.06,11.32,2.55,0.0
20220325:2130,4.53,48.89,1.73,17.07,9.86,1.79,0.0
20220325:2230,0.11,15.41,0.52,6.52,8.55,1.79,0.0
20220325:2330,0.0,0.0,0.0,-4.16,7.31,1.66,0.0
20220326:0030,0.0,0.0,0.0,0.0,6.52,1.38,0.0
20220326:0130,0.0,0.0,0.0,0.0,5.7,1.72,0.0
20220326:0230,0.0,0.0,0.0,0.0,4.86,1.93,0.0
20220326:0330,0.0,0.0,0.0,0.0,3.79,1.86,0.0
20220326:0430,0.0,0.0,0.0,0.0,3.32,1.79,0.0
20220326:0530,0.0,0.0,0.0,0.0,3.17,1.72,0.0
20220326:0630,0.0,0.0,0.0,0.0,2.73,1.66,0.0
20220326:0730,0.0,0.0,0.0,0.0,2.72,1.66,0.0
20220326:0830,0.0,0.0,0.0,0.0,2.52,1.59,0.0
20220326:0930,0.0,0.0,0.0,0.0,2.31,1.59,0.0
20220326:1030,0.0,0.0,0.0,-3.63,2.12,1.59,0.0
20220326:1130,29.67,26.9,1.61,7.05,1.94,1.66,0.0
20220326:1230,82.27,92.08,4.62,17.6,2.57,1.52,0.0
20220326:1330,244.28,149.9,9.41,27.59,3.64,2.07,0.0
20220326:1430,392.68,188.16,13.34,36.45,4.87,2.48,0.0
20220326:1530,241.67,228.91,11.79,43.36,5.86,2.62,0.0
20220326:1630,195.93,249.61,11.64,47.23,6.37,2.62,0.0
20220326:1730,433.84,237.33,15.54,47.17,6.83,2.55,0.0
20220326:1830,283.86,256.67,13.32,43.2,7.51,2.55,0.0
20220326:1930,333.31,216.76,12.99,36.22,7.92,2.34,0.0
20220326:2030,234.04,172.11,9.82,27.31,8.38,2.14,0.0
20220326:2130,171.85,98.14,6.53,17.3,8.3,1.79,0.0
20220326:2230,41.21,31.85,2.05,6.74,7.82,1.31,0.0
20220326:2330,0.0,0.0,0.0,-3.93,6.57,1.1,0.0
20220327:0030,0.0,0.0,0.0,0.0,5.02,1.1,0.0
20220327:0130,0.0,0.0,0.0,0.0,3.37,0.97,0.0
20220327:0230,0.0,0.0,0.0,0.0,2.96,0.69,0.0
20220327:0330,0.0,0.0,0.0,0.0,2.69,0.48,0.0
20220327:0430,0.0,0.0,0.0,0.0,1.57,0.9,0.0
20220327:0530,0.0,0.0,0.0,0.0,0.89,1.1,0.0
20220327:0630,0.0,0.0,0.0,0.0,0.78,1.17,0.0
20220327:0730,0.0,0.0,0.0,0.0,1.36,1.45,0.0
20220327:0830,0.0,0.0,0.0,0.0,1.38,1.52,0.0
20220327:0930,0.0,0.0,0.0,0.0,1.23,1.59,0.0
20220327:1030,0.0,0.0,0.0,-3.3,0.85,1.52,0.0
20220327:1130,14.97,34.41,1.52,7.38,0.13,1.24,0.0
20220327:1230,41.67,105.05,4.28,17.93,0.97,1.52,0.0
20220327:1330,191.75,115.38,7.5,27.94,1.51,2.0,0.0
20220327:1430,218.44,203.72,10.61,36.83,1.77,2.48,0.0
20220327:1530,396.28,233.5,14.77,43.75,2.38,2.76,0.0
20220327:1630,441.03,263.57,16.46,47.63,3.27,3.03,0.0
20220327:1730,387.62,268.25,15.61,47.54,4.02,3.17,0.0
20220327:1830,269.7,291.94,14.14,43.53,4.1,3.31,0.0
20220327:1930,278.59,234.78,12.57,36.51,2.87,3.17,0.0
20220327:2030,124.28,142.3,7.0,27.56,2.43,3.1,0.0
20220327:2130,37.48,98.88,4.01,17.53,1.36,3.03,0.0
20220327:2230,19.07,31.87,1.55,6.96,0.28,3.03,0.0
20220327:2330,0.0,0.0,0.0,-3.71,-0.88,2.83,0.0
20220328:0030,0.0,0.0,0.0,0.0,-1.83,2.76,0.0
20220328:0130,0.0,0.0,0.0,0.0,-2.56,3.03,0.0
20220328:0230,0.0,0.0,0.0,0.0,-3.29,3.24,0.0
20220328:0330,0.0,0.0,0.0,0.0,-3.99,3.45,0.0
20220328:0430,0.0,0.0,0.0,0.0,-4.62,3.52,0.0
20220328:0530,0.0,0.0,0.0,0.0,-5.17,3.59,0.0
20220328:0630,0.0,0.0,0.0,0.0,-5.71,3.52,0.0
20220328:0730,0.0,0.0,0.0,0.0,-7.36,3.31,0.0
20220328:0830,0.0,0.0,0.0,0.0,-7.89,3.24,0.0
20220328:0930,0.0,0.0,0.0,0.0,-8.41,3.17,0.0
20220328:1030,0.0,0.0,0.0,-2.96,-8.89,3.03,0.0
20220328:1130,33.38,45.36,2.35,7.72,-9.24,3.03,0.0
20220328:1230,98.93,126.41,6.05,18.27,-9.17,3.17,0.0
20220328:1330,218.68,197.32,10.39,28.29,-8.81,3.24,0.0
20220328:1430,394.45,242.03,14.96,37.2,-8.14,3.31,0.0
20220328:1530,420.66,293.83,16.92,44.15,-7.31,3.38,0.0
20220328:1630,333.76,379.0,17.81,48.02,-6.63,3.45,0.0
20220328:1730,268.36,386.31,16.95,47.92,-5.95,3.45,0.0
20220328:1830,215.91,330.46,14.41,43.86,-5.44,3.52,0.0
20220328:1930,146.36,292.57,12.05,36.79,-6.32,3.72,0.0
20220328:2030,80.1,216.03,8.52,27.81,-6.43,3.86,0.0
20220328:2130,81.97,123.29,5.63,17.75,-6.79,3.93,0.0
20220328:2230,10.21,42.09,1.67,7.18,-7.27,3.86,0.0
20220328:2330,0.0,0.0,0.0,-3.49,-7.87,3.72,0.0
20220329:0030,0.0,0.0,0.0,0.0,-8.19,3.72,0.0
20220329:0130,0.0,0.0,0.0,0.0,-8.29,3.86,0.0
20220329:0230,0.0,0.0,0.0,0.0,-8.32,3.79,0.0
20220329:0330,0.0,0.0,0.0,0.0,-8.29,3.72,0.0
20220329:0430,0.0,0.0,0.0,0.0,-8.28,3.59,0.0
20220329:0530,0.0,0.0,0.0,0.0,-8.2,3.93,0.0
20220329:0630,0.0,0.0,0.0,0.0,-8.41,3.72,0.0
20220329:0730,0.0,0.0,0.0,0.0,-8.22,3.79,0.0
20220329:0830,0.0,0.0,0.0,0.0,-8.47,3.45,0.0
20220329:0930,0.0,0.0,0.0,0.0,-8.66,3.66,0.0
20220329:1030,0.0,0.0,0.0,-2.63,-8.76,3.31,0.0
20220329:1130,56.26,43.07,2.93,8.05,-8.86,3.31,0.0
20220329:1230,165.8,107.43,6.89,18.61,-8.33,3.86,0.0
20220329:1330,269.3,186.85,11.12,28.64,-7.45,4.07,0.0
20220329:1430,311.01,271.45,14.31,37.57,-6.39,4.0,0.0
20220329:1530,404.48,308.97,17.11,44.54,-5.29,3.93,0.0
20220329:1630,627.1,295.7,20.95,48.42,-4.15,3.93,0.0
20220329:1730,722.31,234.86,21.32,48.29,-2.72,4.07,0.0
20220329:1830,683.42,219.86,20.17,44.19,-1.62,4.21,0.0
20220329:1930,555.44,183.33,16.7,37.07,-0.61,4.21,0.0
20220329:2030,337.48,154.89,11.6,28.06,-0.37,4.28,0.0
20220329:2130,124.6,111.11,6.16,17.98,-0.52,4.28,0.0
20220329:2230,24.49,36.47,1.9,7.4,-0.86,4.21,0.0
20220329:2330,0.0,0.0,0.0,-3.27,-1.66,3.17,0.0
20220330:0030,0.0,0.0,0.0,0.0,-2.52,2.83,0.0
20220330:0130,0.0,0.0,0.0,0.0,-3.16,2.76,0.0
20220330:0230,0.0,0.0,0.0,0.0,-3.59,2.69,0.0
20220330:0330,0.0,0.0,0.0,0.0,-3.81,2.69,0.0
20220330:0430,0.0,0.0,0.0,0.0,-4.1,2.76,0.0
20220330:0530,0.0,0.0,0.0,0.0,-4.43,2.69,0.0
20220330:0630,0.0,0.0,0.0,0.0,-4.8,2.62,0.0
20220330:0730,0.0,0.0,0.0,0.0,-4.42,2.34,0.0
20220330:0830,0.0,0.0,0.0,0.0,-4.63,2.34,0.0
20220330:0930,0.0,0.0,0.0,0.0,-4.91,2.21,0.0
20220330:1030,0.0,0.0,0.0,-2.3,-5.2,2.0,0.0
20220330:1130,79.19,35.55,3.42,8.37,-5.49,1.72,0.0
20220330:1230,303.72,71.09,9.04,18.94,-4.47,1.93,0.0
20220330:1330,524.51,105.13,14.38,28.99,-2.99,2.28,0.0
20220330:1430,642.01,150.39,17.8,37.94,-1.5,2.21,0.0
20220330:1530,777.63,183.81,21.35,44.93,-0.03,1.86,0.0
20220330:1630,676.3,289.39,21.86,48.82,1.47,1.45,0.0
20220330:1730,514.94,342.64,20.15,48.67,2.74,0.83,0.0
20220330:1830,262.66,340.14,15.57,44.52,3.72,0.76,0.0
20220330:1930,129.53,290.06,11.77,37.35,4.25,0.62,0.0
20220330:2030,86.69,220.09,8.81,28.3,4.45,0.76,0.0
20220330:2130,6.99,97.78,3.42,18.2,4.65,1.03,0.0
20220330:2230,0.0,18.7,0.63,7.61,3.7,1.31,0.0
20220330:2330,0.0,0.0,0.0,-3.05,2.18,2.07,0.0
20220331:0030,0.0,0.0,0.0,0.0,1.35,2.14,0.0
20220331:0130,0.0,0.0,0.0,0.0,0.58,2.55,0.0
20220331:0230,0.0,0.0,0.0,0.0,0.0,2.34,0.0
20220331:0330,0.0,0.0,0.0,0.0,-0.1,2.21,0.0
20220331:0430,0.0,0.0,0.0,0.0,0.13,2.55,0.0
20220331:0530,0.0,0.0,0.0,0.0,0.68,3.17,0.0
20220331:0630,0.0,0.0,0.0,0.0,0.93,3.45,0.0
20220331:0730,0.0,0.0,0.0,0.0,1.06,3.52,0.0
20220331:0830,0.0,0.0,0.0,0.0,1.5,3.79,0.0
20220331:0930,0.0,0.0,0.0,0.0,2.1,3.86,0.0
20220331:1030,0.0,0.0,0.0,-1.97,2.49,3.59,0.0
20220331:1130,0.0,39.03,1.31,8.7,2.77,3.52,0.0
20220331:1230,85.02,121.29,5.75,19.28,3.7,3.38,0.0
20220331:1330,411.89,134.12,12.8,29.34,6.0,3.24,0.0
20220331:1430,548.21,162.41,16.26,38.31,9.4,4.0,0.0
20220331:1530,761.46,145.98,20.25,45.32,12.08,4.41,0.0
20220331:1630,392.26,285.08,16.44,49.21,14.5,4.55,0.0
20220331:1730,168.54,268.41,11.9,49.04,15.34,4.41,0.0
20220331:1830,18.67,136.6,4.94,44.84,16.24,4.34,0.0
20220331:1930,42.28,140.37,5.51,37.63,13.73,3.86,0.0
20220331:2030,58.69,126.7,5.38,28.55,13.65,4.41,0.0
20220331:2130,17.47,74.79,2.88,18.43,14.41,4.62,0.0
20220331:2230,0.0,23.24,0.78,7.83,14.22,4.28,0.0
20220331:2330,0.0,0.0,0.0,-2.84,13.48,4.07,0.0
20220401:0030,0.0,0.0,0.0,0.0,12.92,3.79,0.0
20220401:0130,0.0,0.0,0.0,0.0,12.84,3.59,0.0
20220401:0230,0.0,0.0,0.0,0.0,12.51,2.9,0.0
20220401:0330,0.0,0.0,0.0,0.0,11.84,2.07,0.0
20220401:0430,0.0,0.0,0.0,0.0,10.95,1.66,0.0
20220401:0530,0.0,0.0,0.0,0.0,9.99,2.21,0.0
20220401:0630,0.0,0.0,0.0,0.0,8.07,2.0,0.0
20220401:0730,0.0,0.0,0.0,0.0,7.03,0.9,0.0
20220401:0830,0.0,0.0,0.0,0.0,6.84,0.21,0.0
20220401:0930,0.0,0.0,0.0,0.0,5.94,0.55,0.0
20220401:1030,0.0,0.0,0.0,-1.64,4.06,0.9,0.0
20220401:1130,15.88,42.16,1.88,9.03,2.9,0.97,0.0
20220401:1230,22.63,111.21,4.19,19.61,3.37,0.69,0.0
20220401:1330,155.51,168.76,8.59,29.69,4.97,0.41,0.0
20220401:1430,169.49,196.75,9.72,38.67,6.17,1.45,0.0
20220401:1530,122.32,193.09,8.74,45.7,6.4,2.28,0.0
20220401:1630,162.06,215.49,10.19,49.61,6.25,2.41,0.0
20220401:1730,148.71,167.56,8.46,49.41,6.4,2.55,0.0
20220401:1830,93.42,203.1,8.51,45.17,6.42,2.34,0.0
20220401:1930,98.76,174.5,7.69,37.91,6.36,2.9,0.0
20220401:2030,30.07,139.67,5.26,28.79,5.63,2.9,0.0
20220401:2130,25.25,76.21,3.1,18.65,4.13,3.1,0.0
20220401:2230,10.9,28.87,1.32,8.04,2.92,2.97,0.0
20220401:2330,0.0,0.0,0.0,-2.62,1.79,3.03,0.0
20220402:0030,0.0,0.0,0.0,0.0,0.91,3.1,0.0
20220402:0130,0.0,0.0,0.0,0.0,0.39,3.31,0.0
20220402:0230,0.0,0.0,0.0,0.0,0.0,3.59,0.0
20220402:0330,0.0,0.0,0.0,0.0,-0.33,3.79,0.0
20220402:0430,0.0,0.0,0.0,0.0,-0.56,3.86,0.0
20220402:0530,0.0,0.0,0.0,0.0,-0.64,3.66,0.0
20220402:0630,0.0,0.0,0.0,0.0,-0.81,3.72,0.0
20220402:0730,0.0,0.0,0.0,0.0,-0.97,4.0,0.0
20220402:0830,0.0,0.0,0.0,0.0,-1.11,4.21,0.0
20220402:0930,0.0,0.0,0.0,0.0,-1.42,4.21,0.0
20220402:1030,0.0,0.0,0.0,-1.31,-1.68,4.28,0.0
20220402:1130,59.34,40.32,3.18,9.35,-1.91,3.72,0.0
20220402:1230,252.85,89.25,8.67,19.94,-1.72,3.72,0.0
20220402:1330,463.68,129.19,14.02,30.03,-0.81,4.07,0.0
20220402:1430,690.92,131.63,18.78,39.04,0.39,3.86,0.0
20220402:1530,888.96,117.72,22.58,46.09,1.69,3.72,0.0
20220402:1630,964.97,119.33,24.18,50.0,3.0,3.52,0.0
20220402:1730,958.82,118.56,24.03,49.78,4.22,3.38,0.0
20220402:1830,862.72,121.03,22.1,45.49,5.21,3.24,0.0
20220402:1930,718.26,104.53,18.76,38.19,5.51,2.9,0.0
20220402:2030,506.81,90.55,14.06,29.03,5.77,2.76,0.0
20220402:2130,269.61,68.09,8.57,18.87,5.53,2.55,0.0
20220402:2230,58.66,31.97,3.08,8.26,4.77,2.0,0.0
20220402:2330,0.0,0.0,0.0,-2.4,2.94,1.72,0.0
20220403:0030,0.0,0.0,0.0,0.0,1.48,1.52,0.0
20220403:0130,0.0,0.0,0.0,0.0,0.53,1.1,0.0
20220403:0230,0.0,0.0,0.0,0.0,-0.23,1.17,0.0
20220403:0330,0.0,0.0,0.0,0.0,-0.98,1.31,0.0
20220403:0430,0.0,0.0,0.0,0.0,-1.41,1.03,0.0
20220403:0530,0.0,0.0,0.0,0.0,-1.68,0.9,0.0
20220403:0630,0.0,0.0,0.0,0.0,-1.79,0.83,0.0
20220403:0730,0.0,0.0,0.0,0.0,-1.22,0.83,0.0
20220403:0830,0.0,0.0,0.0,0.0,-1.35,0.9,0.0
20220403:0930,0.0,0.0,0.0,0.0,-1.8,1.03,0.0
20220403:1030,0.0,0.0,0.0,-0.99,-1.74,1.1,0.0
20220403:1130,2.67,53.07,1.86,9.68,-1.39,0.97,0.0
20220403:1230,43.39,125.64,5.11,20.27,0.37,0.55,0.0
20220403:1330,51.01,187.84,7.24,30.37,2.83,0.55,0.0
20220403:1430,133.65,296.06,12.16,39.4,4.17,0.69,0.0
20220403:1530,219.47,341.09,15.07,46.48,5.51,0.76,0.0
20220403:1630,223.95,362.69,15.82,50.39,6.59,0.69,0.0
20220403:1730,294.07,340.56,16.4,50.14,7.52,0.76,0.0
20220403:1830,353.6,294.31,16.15,45.81,8.4,0.76,0.0
20220403:1930,28.37,200.56,7.24,38.46,8.39,1.24,0.0
20220403:2030,26.68,166.98,6.1,29.27,7.37,2.34,0.0
20220403:2130,22.41,105.72,4.03,19.09,5.93,2.9,0.0
20220403:2230,3.72,37.63,1.39,8.47,4.52,2.83,0.0
20220403:2330,0.0,0.0,0.0,-2.18,3.14,2.76,0.0
20220404:0030,0.0,0.0,0.0,0.0,2.01,2.41,0.0
20220404:0130,0.0,0.0,0.0,0.0,1.25,2.21,0.0
20220404:0230,0.0,0.0,0.0,0.0,0.56,2.07,0.0
20220404:0330,0.0,0.0,0.0,0.0,0.3,2.07,0.0
20220404:0430,0.0,0.0,0.0,0.0,0.17,2.14,0.0
20220404:0530,0.0,0.0,0.0,0.0,0.17,2.14,0.0
20220404:0630,0.0,0.0,0.0,0.0,0.24,2.0,0.0
20220404:0730,0.0,0.0,0.0,0.0,0.18,2.28,0.0
20220404:0830,0.0,0.0,0.0,0.0,0.12,1.93,0.0
20220404:0930,0.0,0.0,0.0,0.0,-0.26,1.59,0.0
20220404:1030,0.0,0.0,0.0,-0.66,-0.6,1.66,0.0
20220404:1130,80.64,39.59,3.99,10.0,-0.74,1.72,0.0
20220404:1230,277.79,79.41,9.2,20.6,0.56,1.93,0.0
20220404:1330,442.85,129.64,13.8,30.71,2.18,2.83,0.0
20220404:1430,620.92,159.14,18.18,39.76,3.44,2.97,0.0
20220404:1530,835.35,140.98,22.24,46.86,4.65,3.17,0.0
20220404:1630,937.32,126.07,24.02,50.78,5.96,3.24,0.0
20220404:1730,939.64,127.1,24.1,50.51,7.07,3.38,0.0
20220404:1830,862.2,121.83,22.39,46.13,7.9,3.45,0.0
20220404:1930,717.03,107.59,19.08,38.73,8.52,3.38,0.0
20220404:2030,423.29,123.16,13.24,29.51,8.64,3.31,0.0
20220404:2130,182.09,107.16,7.75,19.31,8.34,3.1,0.0
20220404:2230,23.55,48.5,2.49,8.68,7.56,2.14,0.0
20220404:2330,0.0,0.0,0.0,-1.97,6.17,1.45,0.0
20220405:0030,0.0,0.0,0.0,0.0,4.96,1.38,0.0
20220405:0130,0.0,0.0,0.0,0.0,4.02,1.31,0.0
20220405:0230,0.0,0.0,0.0,0.0,2.76,1.24,0.0
20220405:0330,0.0,0.0,0.0,0.0,1.95,1.17,0.0
20220405:0430,0.0,0.0,0.0,0.0,1.68,0.97,0.0
20220405:0530,0.0,0.0,0.0,0.0,2.54,0.62,0.0
20220405:0630,0.0,0.0,0.0,0.0,2.38,0.28,0.0
20220405:0730,0.0,0.0,0.0,0.0,0.26,1.24,0.0
20220405:0830,0.0,0.0,0.0,0.0,-0.07,1.24,0.0
20220405:0930,0.0,0.0,0.0,0.0,-0.87,1.38,0.0
20220405:1030,0.0,0.0,0.0,-0.34,-1.42,1.45,0.0
20220405:1130,80.67,40.71,4.1,10.32,-1.48,1.31,0.0
20220405:1230,296.91,73.09,9.61,20.92,1.59,0.69,0.0
20220405:1330,528.28,93.26,14.94,31.05,5.19,0.83,0.0
20220405:1430,724.95,107.3,19.34,40.12,7.19,1.03,0.0
20220405:1530,691.32,128.39,18.91,47.24,8.71,1.1,0.0
20220405:1630,629.4,221.57,19.87,51.17,9.86,1.24,0.0
20220405:1730,428.94,284.74,17.49,50.87,10.74,0.97,0.0
20220405:1830,365.47,300.9,16.69,46.44,11.14,0.69,0.0
20220405:1930,207.18,265.18,12.64,39.0,11.45,0.9,0.0
20220405:2030,276.14,158.83,11.04,29.74,11.59,1.03,0.0
20220405:2130,138.47,102.0,6.64,19.52,11.81,1.24,0.0
20220405:2230,45.9,35.87,2.98,8.89,11.02,0.41,0.0
20220405:2330,0.0,0.0,0.0,-1.75,9.2,1.72,0.0
20220406:0030,0.0,0.0,0.0,0.0,6.86,2.0,0.0
20220406:0130,0.0,0.0,0.0,0.0,4.83,1.86,0.0
20220406:0230,0.0,0.0,0.0,0.0,3.13,1.66,0.0
20220406:0330,0.0,0.0,0.0,0.0,1.67,1.52,0.0
20220406:0430,0.0,0.0,0.0,0.0,0.8,1.45,0.0
20220406:0530,0.0,0.0,0.0,0.0,0.86,1.38,0.0
20220406:0630,0.0,0.0,0.0,0.0,0.45,1.38,0.0
20220406:0730,0.0,0.0,0.0,0.0,0.85,1.31,0.0
20220406:0830,0.0,0.0,0.0,0.0,0.51,1.38,0.0
20220406:0930,0.0,0.0,0.0,0.0,0.04,1.38,0.0
20220406:1030,0.0,0.0,0.0,-0.02,-0.25,1.31,0.0
20220406:1130,22.08,69.86,3.08,10.64,-0.24,1.17,0.0
20220406:1230,143.73,135.46,7.75,21.25,2.13,0.83,0.0
20220406:1330,362.9,168.06,13.23,31.39,6.12,0.62,0.0
20220406:1430,536.31,151.99,16.38,40.48,9.67,0.69,0.0
20220406:1530,727.44,199.2,21.55,47.62,11.83,1.31,0.0
20220406:1630,860.54,186.83,24.06,51.55,13.57,1.72,0.0
20220406:1730,927.03,132.43,24.23,51.23,14.9,1.66,0.0
20220406:1830,881.37,105.8,22.72,46.76,15.8,1.72,0.0
20220406:1930,724.45,100.26,19.35,39.27,16.43,1.38,0.0
20220406:2030,509.21,88.06,14.58,29.98,16.64,1.24,0.0
20220406:2130,267.6,64.34,8.89,19.74,16.31,1.38,0.0
20220406:2230,46.55,40.29,3.23,9.1,14.86,1.03,0.0
20220406:2330,0.0,0.0,0.0,-1.54,12.81,1.31,0.0
20220407:0030,0.0,0.0,0.0,0.0,10.28,2.07,0.0
20220407:0130,0.0,0.0,0.0,0.0,8.49,2.41,0.0
20220407:0230,0.0,0.0,0.0,0.0,7.43,2.34,0.0
20220407:0330,0.0,0.0,0.0,0.0,6.57,2.28,0.0
20220407:0430,0.0,0.0,0.0,0.0,6.02,2.21,0.0
20220407:0530,0.0,0.0,0.0,0.0,5.5,2.21,0.0
20220407:0630,0.0,0.0,0.0,0.0,5.14,2.14,0.0
20220407:0730,0.0,0.0,0.0,0.0,6.65,2.83,0.0
20220407:0830,0.0,0.0,0.0,0.0,6.83,2.97,0.0
20220407:0930,0.0,0.0,0.0,0.0,6.71,3.03,0.0
20220407:1030,0.0,3.74,0.14,0.3,5.99,3.1,0.0
20220407:1130,0.16,23.11,0.78,10.96,4.98,3.17,0.0
20220407:1230,52.83,85.51,4.13,21.57,4.72,3.31,0.0
20220407:1330,11.97,105.73,3.8,31.72,5.34,3.38,0.0
20220407:1430,110.99,166.41,7.82,40.84,5.17,3.52,0.0
20220407:1530,256.0,179.37,11.17,47.99,6.01,3.45,0.0
20220407:1630,105.53,171.81,7.87,51.94,6.82,3.38,0.0
20220407:1730,101.21,183.83,8.16,51.59,7.04,2.97,0.0
20220407:1830,0.37,102.68,3.45,47.07,7.39,2.83,0.0
20220407:1930,0.67,91.31,3.07,39.53,6.13,3.66,0.0
20220407:2030,0.88,90.82,3.06,30.21,5.59,4.0,0.0
20220407:2130,3.39,73.72,2.55,19.95,5.68,4.07,0.0
20220407:2230,0.07,19.21,0.65,9.31,5.38,3.72,0.0
20220407:2330,0.0,0.0,0.0,-1.32,4.7,3.31,0.0
20220408:0030,0.0,0.0,0.0,0.0,4.14,3.03,0.0
20220408:0130,0.0,0.0,0.0,0.0,3.59,2.97,0.0
20220408:0230,0.0,0.0,0.0,0.0,3.52,3.1,0.0
20220408:0330,0.0,0.0,0.0,0.0,3.39,3.1,0.0
20220408:0430,0.0,0.0,0.0,0.0,2.88,2.55,0.0
20220408:0530,0.0,0.0,0.0,0.0,2.84,1.1,0.0
20220408:0630,0.0,0.0,0.0,0.0,2.85,0.9,0.0
20220408:0730,0.0,0.0,0.0,0.0,2.17,1.1,0.0
20220408:0830,0.0,0.0,0.0,0.0,1.49,1.17,0.0
20220408:0930,0.0,0.0,0.0,0.0,1.2,1.31,0.0
20220408:1030,0.0,1.33,0.05,0.62,1.22,1.17,0.0
20220408:1130,0.08,10.78,0.36,11.27,1.31,0.83,0.0
20220408:1230,0.96,35.59,1.22,21.89,1.51,0.83,0.0
20220408:1330,3.8,56.77,1.99,32.05,1.63,0.48,0.0
20220408:1430,0.43,94.08,3.16,41.19,2.0,0.07,0.0
20220408:1530,43.85,134.25,5.41,48.37,2.87,0.55,0.0
20220408:1630,39.13,237.88,8.71,52.32,4.1,1.31,0.0
20220408:1730,240.46,285.75,14.04,51.95,6.27,1.66,0.0
20220408:1830,44.74,201.77,7.63,47.38,8.78,1.59,0.0
20220408:1930,265.35,167.29,11.11,39.8,9.69,1.31,0.0
20220408:2030,359.69,117.9,12.07,30.44,10.32,1.52,0.0
20220408:2130,159.52,83.09,6.81,20.17,10.73,1.1,0.0
20220408:2230,46.54,37.6,3.3,9.52,9.79,0.21,0.0
20220408:2330,0.0,0.0,0.0,-1.11,8.79,0.48,0.0
20220409:0030,0.0,0.0,0.0,0.0,7.13,0.55,0.0
20220409:0130,0.0,0.0,0.0,0.0,6.07,1.66,0.0
20220409:0230,0.0,0.0,0.0,0.0,4.35,1.72,0.0
20220409:0330,0.0,0.0,0.0,0.0,2.73,1.66,0.0
20220409:0430,0.0,0.0,0.0,0.0,1.85,1.72,0.0
20220409:0530,0.0,0.0,0.0,0.0,1.55,1.72,0.0
20220409:0630,0.0,0.0,0.0,0.0,1.38,1.72,0.0
20220409:0730,0.0,0.0,0.0,0.0,1.05,1.66,0.0
20220409:0830,0.0,0.0,0.0,0.0,0.45,1.66,0.0
20220409:0930,0.0,0.0,0.0,0.0,0.19,1.59,0.0
20220409:1030,0.0,7.76,0.29,0.93,0.06,1.45,0.0
20220409:1130,12.47,64.66,2.62,11.58,0.48,1.17,0.0
20220409:1230,29.75,118.92,4.69,22.2,2.15,0.62,0.0
20220409:1330,8.64,132.92,4.64,32.38,4.5,0.48,0.0
20220409:1430,26.48,122.39,4.67,41.54,5.08,0.62,0.0
20220409:1530,51.2,154.0,6.21,48.74,5.13,0.9,0.0
20220409:1630,18.89,154.4,5.56,52.7,5.23,0.83,0.0
20220409:1730,16.65,179.65,6.35,52.3,4.97,0.83,0.0
20220409:1830,12.02,148.96,5.24,47.68,4.97,0.97,0.0
20220409:1930,7.8,127.71,4.44,40.06,4.3,1.31,0.0
20220409:2030,9.7,89.91,3.23,30.67,4.12,1.66,0.0
20220409:2130,9.32,94.27,3.39,20.38,4.08,1.59,0.0
20220409:2230,7.89,36.74,1.59,9.72,4.27,1.24,0.0
20220409:2330,0.0,0.0,0.0,-0.89,4.06,0.55,0.0
20220410:0030,0.0,0.0,0.0,0.0,3.45,0.34,0.0
20220410:0130,0.0,0.0,0.0,0.0,3.04,0.69,0.0
20220410:0230,0.0,0.0,0.0,0.0,2.43,1.31,0.0
20220410:0330,0.0,0.0,0.0,0.0,1.77,1.38,0.0
20220410:0430,0.0,0.0,0.0,0.0,1.04,1.59,0.0
20220410:0530,0.0,0.0,0.0,0.0,0.97,1.38,0.0
20220410:0630,0.0,0.0,0.0,0.0,0.63,1.31,0.0
20220410:0730,0.0,0.0,0.0,0.0,0.23,1.24,0.0
20220410:0830,0.0,0.0,0.0,0.0,-0.23,1.24,0.0
20220410:0930,0.0,0.0,0.0,0.0,-0.23,1.24,0.0
20220410:1030,0.0,8.42,0.31,1.24,-0.34,1.24,0.0
20220410:1130,57.54,44.78,3.69,11.89,-0.04,1.45,0.0
20220410:1230,183.01,105.58,8.09,22.52,2.21,1.52,0.0
20220410:1330,263.17,156.57,11.02,32.71,3.11,2.55,0.0
20220410:1430,425.78,193.53,15.42,41.88,4.26,2.83,0.0
20220410:1530,538.42,198.26,17.86,49.11,5.7,2.69,0.0
20220410:1630,649.96,200.09,20.27,53.07,6.73,2.9,0.0
20220410:1730,538.5,269.32,19.7,52.65,7.9,3.24,0.0
20220410:1830,605.84,233.94,20.28,47.99,8.38,3.38,0.0
20220410:1930,482.52,193.27,16.71,40.32,8.39,3.31,0.0
20220410:2030,175.1,211.6,10.72,30.9,7.83,3.72,0.0
20220410:2130,112.47,104.82,6.38,20.59,6.39,3.86,0.0
20220410:2230,38.03,43.02,3.24,9.93,6.0,3.72,0.0
20220410:2330,0.0,0.0,0.0,-0.68,4.94,3.52,0.0
20220411:0030,0.0,0.0,0.0,0.0,3.67,2.9,0.0
20220411:0130,0.0,0.0,0.0,0.0,2.99,2.48,0.0
20220411:0230,0.0,0.0,0.0,0.0,2.45,2.34,0.0
