time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220113:0230,0.0,0.0,0.0,0.0,-3.35,1.66,0.0
20220113:0330,0.0,0.0,0.0,0.0,-3.61,1.45,0.0
20220113:0430,0.0,0.0,0.0,0.0,-3.91,1.45,0.0
20220113:0530,0.0,0.0,0.0,0.0,-3.93,1.31,0.0
20220113:0630,0.0,0.0,0.0,0.0,-3.83,1.1,0.0
20220113:0730,0.0,0.0,0.0,0.0,-4.02,0.97,0.0
20220113:0830,0.0,0.0,0.0,0.0,-4.16,0.97,0.0
20220113:0930,0.0,0.0,0.0,0.0,-4.19,0.9,0.0
20220113:1030,0.0,0.0,0.0,0.0,-4.14,0.9,0.0
20220113:1130,0.0,0.0,0.0,0.0,-4.13,0.83,0.0
20220113:1230,0.0,0.0,0.0,-0.34,-4.38,0.9,0.0
20220113:1330,53.9,38.27,1.42,8.31,-4.65,0.9,0.0
20220113:1430,97.78,83.58,3.29,15.53,-3.46,0.69,0.0
20220113:1530,290.73,147.32,6.75,20.8,-3.14,0.97,0.0
20220113:1630,353.76,162.79,7.99,23.63,-0.24,1.66,0.0
20220113:1730,290.14,133.72,6.76,23.68,1.1,1.93,0.0
20220113:1830,238.31,128.99,5.92,20.96,1.86,2.0,0.0
20220113:1930,105.78,102.16,3.86,15.77,2.02,1.52,0.0
20220113:2030,77.38,52.35,1.88,8.63,1.93,1.17,0.0
20220113:2130,0.0,4.29,0.16,0.02,1.63,1.31,0.0
20220113:2230,0.0,0.0,0.0,0.0,0.67,1.59,0.0
20220113:2330,0.0,0.0,0.0,0.0,0.51,1.45,0.0
20220114:0030,0.0,0.0,0.0,0.0,0.34,1.45,0.0
20220114:0130,0.0,0.0,0.0,0.0,0.04,1.45,0.0
20220114:0230,0.0,0.0,0.0,0.0,-0.5,1.31,0.0
20220114:0330,0.0,0.0,0.0,0.0,-0.97,1.24,0.0
20220114:0430,0.0,0.0,0.0,0.0,-1.02,0.97,0.0
20220114:0530,0.0,0.0,0.0,0.0,-1.23,0.55,0.0
20220114:0630,0.0,0.0,0.0,0.0,-1.46,0.48,0.0
20220114:0730,0.0,0.0,0.0,0.0,-1.91,1.31,0.0
20220114:0830,0.0,0.0,0.0,0.0,-2.32,1.72,0.0
20220114:0930,0.0,0.0,0.0,0.0,-2.99,2.07,0.0
