month,day,Hour,Load (MW),Price ($/MWh)
1,10,12,716.543,127.42
1,10,13,722.303,115.75
1,10,14,717.58,119.02
1,10,15,735.377,109.24
1,10,16,777.496,126.14
1,10,17,824.386,154.98
1,10,18,852.265,183.7
1,10,19,841.543,167.57
1,10,20,830.437,145.08
1,10,21,796.642,140.71
1,10,22,763.807,173.27
1,10,23,724.966,150.14
1,10,24,685.84,136.96
1,11,1,665.308,135.82
1,11,2,655.738,129.14
1,11,3,654.262,119.71
1,11,4,661.605,122.15
1,11,5,679.272,124.09
1,11,6,716.498,132.31
1,11,7,778.35,133.87
1,11,8,830.115,180.15
1,11,9,835.704,159.16
1,11,10,806.682,173.39
1,11,11,770.167,148.36
1,11,12,742.56,147.73
1,11,13,713.474,152.34
1,11,14,708.641,161.84
1,11,15,735.57,205.93
1,11,16,795.879,224.67
1,11,17,843.508,198.16
1,11,18,865.359,176.7
1,11,19,862.606,225.58
1,11,20,850.902,163.36
1,11,21,831.615,161.97
1,11,22,809.657,155.4
1,11,23,766.53,147.07
1,11,24,720.516,146.82
1,12,1,694.113,154.52
1,12,2,681.356,191.24
1,12,3,672.149,182.11
1,12,4,672.475,164.68
1,12,5,685.252,177.18
1,12,6,722.363,160.87
1,12,7,789.188,207.13
1,12,8,837.266,212.95
1,12,9,847.279,195.26
1,12,10,854.754,173.21
1,12,11,853.439,159.75
1,12,12,851.866,135.33
1,12,13,844.545,131.8
1,12,14,845.03,131.76
1,12,15,839.787,156.53
1,12,16,840.883,173.48
1,12,17,854.562,225.5
1,12,18,864.184,299.24
1,12,19,858.133,297.31
1,12,20,824.966,223.21
1,12,21,784.25,208.73
1,12,22,749.589,207.03
1,12,23,704.334,195.07
1,12,24,661.548,172.5
1,13,1,635.366,122.78
1,13,2,616.672,153.36
1,13,3,606.835,152.68
1,13,4,603.491,157.87
1,13,5,615.861,147.57
1,13,6,646.035,138.59
1,13,7,709.213,181.22
1,13,8,762.299,237.17
1,13,9,774.642,208.15
1,13,10,770.388,161.53
1,13,11,760.506,129.55
1,13,12,751.85,126.52
1,13,13,733.429,116.94
1,13,14,719.358,112.28
1,13,15,711.707,111
1,13,16,727.068,112.63
1,13,17,752.867,120.4
1,13,18,788.575,131.1
1,13,19,778.014,127.93
1,13,20,753.498,111.41
1,13,21,722.772,106.73
1,13,22,694.776,99.97
1,13,23,652.334,92.65
1,13,24,609.879,65.97
1,14,1,583.134,109.62
1,14,2,570.424,95.73
1,14,3,561.523,101.06
1,14,4,559.935,97.64
1,14,5,575.022,92.33
1,14,6,612.915,42.72
1,14,7,676.005,69.65
